id,year,lgID,tmID,franchID,confID,divID,rank,G,W,L,T,OTL,Pts,name
1000,1909,NHA,COB,BKN,,,4,12,4,8,0,,8,Cobalt Silver Kings
1001,1909,NHA,HAI,MTL,,,5,12,4,8,0,,8,Haileybury Hockey Club
1002,1909,NHA,LES,TBS,,,7,12,2,10,0,,4,Les Canadiens
1003,1909,NHA,MOS,MOS,,,6,12,3,8,1,,7,Montreal Shamrocks
1004,1909,NHA,MOW,MTW,,,1,12,11,1,0,,22,Montreal Wanderers
1005,1909,NHA,OT1,STE,,,2,12,9,3,0,,18,Ottawa Senators
1006,1909,NHA,REN,REN,,,3,12,8,3,1,,17,Renfrew Creamery Kings
1007,1910,NHA,MOC,MTL,,,2,16,8,8,0,,16,Montreal Canadiens
1008,1910,NHA,MOW,MTW,,,4,16,7,9,0,,14,Montreal Wanderers
1009,1910,NHA,OT1,STE,,,1,16,13,3,0,,26,Ottawa Senators
1010,1910,NHA,QU1,BKN,,,5,16,4,12,0,,8,Quebec Bulldogs
1011,1910,NHA,REN,REN,,,3,16,8,8,0,,16,Renfrew Creamery Kings
1012,1911,NHA,MOC,MTL,,,4,18,8,10,0,,16,Montreal Canadiens
1013,1911,NHA,MOW,MTW,,,3,18,9,9,0,,18,Montreal Wanderers
1014,1911,NHA,OT1,STE,,,2,18,9,9,0,,18,Ottawa Senators
1015,1911,NHA,QU1,BKN,,,1,18,10,8,0,,20,Quebec Bulldogs
1016,1911,PCHA,NWR,PO1,,,1,15,9,6,0,,18,New Westminster Royals
1017,1911,PCHA,VA1,SPO,,,3,16,7,9,0,,14,Victoria Aristocrats
1018,1911,PCHA,VML,VMR,,,2,15,7,8,0,,14,Vancouver Millionaires
1019,1912,NHA,MOC,MTL,,,5,20,9,11,0,,18,Montreal Canadiens
1020,1912,NHA,MOW,MTW,,,2,20,10,10,0,,20,Montreal Wanderers
1021,1912,NHA,OT1,STE,,,3,20,9,11,0,,18,Ottawa Senators
1022,1912,NHA,QU1,BKN,,,1,20,16,4,0,,32,Quebec Bulldogs
1023,1912,NHA,TBS,TBS,,,4,20,9,11,0,,18,Toronto Blueshirts
1024,1912,NHA,TO1,TOO,,,6,20,7,13,0,,14,Toronto Tecumsehs
1025,1912,PCHA,NWR,PO1,,,3,13,4,9,0,,8,New Westminster Royals
1026,1912,PCHA,VA1,SPO,,,1,15,10,5,0,,20,Victoria Aristocrats
1027,1912,PCHA,VML,VMR,,,2,14,7,7,0,,14,Vancouver Millionaires
1028,1913,NHA,MOC,MTL,,,2,20,13,7,0,,26,Montreal Canadiens
1029,1913,NHA,MOW,MTW,,,5,20,7,13,0,,14,Montreal Wanderers
1030,1913,NHA,OT1,STE,,,4,20,11,9,0,,22,Ottawa Senators
1031,1913,NHA,QU1,BKN,,,3,20,12,8,0,,24,Quebec Bulldogs
1032,1913,NHA,TBS,TBS,,,1,20,13,7,0,,26,Toronto Blueshirts
1033,1913,NHA,TOO,TOO,,,6,20,4,16,0,,8,Toronto Ontarios
1034,1913,PCHA,NWR,PO1,,,3,16,7,9,0,,14,New Westminster Royals
1035,1913,PCHA,VA1,SPO,,,1,16,10,6,0,,20,Victoria Aristocrats
1036,1913,PCHA,VML,VMR,,,2,16,7,9,0,,14,Vancouver Millionaires
1037,1914,NHA,MOC,MTL,,,6,20,6,14,0,,12,Montreal Canadiens
1038,1914,NHA,MOW,MTW,,,2,20,14,6,0,,28,Montreal Wanderers
1039,1914,NHA,OT1,STE,,,1,20,14,6,0,,28,Ottawa Senators
1040,1914,NHA,QU1,BKN,,,3,20,11,9,0,,22,Quebec Bulldogs
1041,1914,NHA,TBS,TBS,,,4,20,8,12,0,,16,Toronto Blueshirts
1042,1914,NHA,TOO,TOO,,,5,20,7,13,0,,14,Toronto Ontarios/Shamrocks
1043,1914,PCHA,PO1,PO1,,,2,18,9,9,0,,18,Portland Rosebuds
1044,1914,PCHA,VA1,SPO,,,3,17,4,13,0,,8,Victoria Aristocrats
1045,1914,PCHA,VML,VMR,,,1,17,13,4,0,,26,Vancouver Millionaires
1046,1915,NHA,MOC,MTL,,,1,24,16,7,1,,33,Montreal Canadiens
1047,1915,NHA,MOW,MTW,,,4,24,10,14,0,,20,Montreal Wanderers
1048,1915,NHA,OT1,STE,,,2,24,13,11,0,,26,Ottawa Senators
1049,1915,NHA,QU1,BKN,,,3,24,10,12,2,,22,Quebec Bulldogs
1050,1915,NHA,TBS,TBS,,,5,24,9,14,1,,19,Toronto Blueshirts
1051,1915,PCHA,PO1,PO1,,,1,18,13,5,0,,26,Portland Rosebuds
1052,1915,PCHA,SEA,SEA,,,3,18,9,9,0,,18,Seattle Metropolitans
1053,1915,PCHA,VA1,SPO,,,4,18,5,13,0,,10,Victoria Aristocrats
1054,1915,PCHA,VML,VMR,,,2,18,9,9,0,,18,Vancouver Millionaires
1055,1916,NHA,MOC,MTL,,,2,20,10,10,0,,20,Montreal Canadiens
1056,1916,NHA,MOW,MTW,,,6,20,5,15,0,,10,Montreal Wanderers
1057,1916,NHA,OT1,STE,,,1,20,15,5,0,,30,Ottawa Senators
1058,1916,NHA,QU1,BKN,,,2,20,10,10,0,,20,Quebec Bulldogs
1059,1916,NHA,TBS,TBS,,,4,14,7,7,0,,14,Toronto Blueshirts
1060,1916,NHA,TOB,TOB,,,4,14,7,7,0,,14,228th Battalion
1061,1916,PCHA,PO1,PO1,,,3,24,9,15,0,,18,Portland Rosebuds
1062,1916,PCHA,SEA,SEA,,,1,24,16,8,0,,32,Seattle Metropolitans
1063,1916,PCHA,SPO,SPO,,,4,23,8,15,0,,16,Spokane Canaries
1064,1916,PCHA,VML,VMR,,,2,23,14,9,0,,28,Vancouver Millionaires
1065,1917,NHL,MTL,MTL,,,1,22,13,9,0,,26,Montreal Canadiens
1066,1917,NHL,MTW,MTW,,,4,6,1,5,0,,2,Montreal Wanderers
1067,1917,NHL,OTS,STE,,,3,22,9,13,0,,18,Ottawa Senators
1068,1917,NHL,TOA,TOR,,,1,22,13,9,0,,26,Toronto Arenas
1069,1917,PCHA,PO1,PO1,,,3,18,7,11,0,,14,Portland Rosebuds
1070,1917,PCHA,SEA,SEA,,,1,18,11,7,0,,22,Seattle Metropolitans
1071,1917,PCHA,VML,VMR,,,2,18,9,9,0,,18,Vancouver Millionaires
1072,1918,NHL,MTL,MTL,,,2,18,10,8,0,,20,Montreal Canadiens
1073,1918,NHL,OTS,STE,,,1,18,12,6,0,,24,Ottawa Senators
1074,1918,NHL,TOA,TOR,,,3,18,5,13,0,,10,Toronto Arenas
1075,1918,PCHA,SEA,SEA,,,2,20,11,9,0,,22,Seattle Metropolitans
1076,1918,PCHA,VA2,VIC,,,3,20,7,13,0,,14,Victoria Aristocrats
1077,1918,PCHA,VML,VMR,,,1,20,12,8,0,,24,Vancouver Millionaires
1078,1919,NHL,MTL,MTL,,,2,24,13,11,0,,26,Montreal Canadiens
1079,1919,NHL,OTS,STE,,,1,24,19,5,0,,38,Ottawa Senators
1080,1919,NHL,QUB,BKN,,,4,24,4,20,0,,8,Quebec Bulldogs
1081,1919,NHL,TRS,TOR,,,3,24,12,12,0,,24,Toronto St. Patricks
1082,1919,PCHA,SEA,SEA,,,1,22,12,10,0,,24,Seattle Metropolitans
1083,1919,PCHA,VA2,VIC,,,3,22,10,12,0,,20,Victoria Aristocrats
1084,1919,PCHA,VML,VMR,,,2,22,11,11,0,,22,Vancouver Millionaires
1085,1920,NHL,HAM,BKN,,,4,24,6,18,0,,12,Hamilton Tigers
1086,1920,NHL,MTL,MTL,,,3,24,13,11,0,,26,Montreal Canadiens
1087,1920,NHL,OTS,STE,,,2,24,14,10,0,,28,Ottawa Senators
1088,1920,NHL,TRS,TOR,,,1,24,15,9,0,,30,Toronto St. Patricks
1089,1920,PCHA,SEA,SEA,,,2,24,12,11,1,,25,Seattle Metropolitans
1090,1920,PCHA,VA2,VIC,,,3,24,10,13,1,,21,Victoria Aristocrats
1091,1920,PCHA,VML,VMR,,,1,24,13,11,0,,26,Vancouver Millionaires
1092,1921,NHL,HAM,BKN,,,4,24,7,17,0,,14,Hamilton Tigers
1093,1921,NHL,MTL,MTL,,,3,24,12,11,1,,25,Montreal Canadiens
1094,1921,NHL,OTS,STE,,,1,24,14,8,2,,30,Ottawa Senators
1095,1921,NHL,TRS,TOR,,,2,24,13,10,1,,27,Toronto St. Patricks
1096,1921,PCHA,SEA,SEA,,,1,24,12,11,1,,25,Seattle Metropolitans
1097,1921,PCHA,VA2,VIC,,,3,24,11,12,1,,23,Victoria Aristocrats
1098,1921,PCHA,VML,VMR,,,2,24,12,12,0,,24,Vancouver Millionaires
1099,1921,WCHL,CAT,CAT,,,3,24,14,10,0,,28,Calgary Tigers
1100,1921,WCHL,EDE,EDE,,,1,24,15,9,0,,30,Edmonton Eskimos
1101,1921,WCHL,REG,POR,,,2,24,14,10,0,,28,Regina Capitals
1102,1921,WCHL,SMJ,SAS,,,4,24,5,19,0,,10,Saskatoon/Moose Jaw Sheiks
1103,1922,NHL,HAM,BKN,,,4,24,6,18,0,,12,Hamilton Tigers
1104,1922,NHL,MTL,MTL,,,2,24,13,9,2,,28,Montreal Canadiens
1105,1922,NHL,OTS,STE,,,1,24,14,9,1,,29,Ottawa Senators
1106,1922,NHL,TRS,TOR,,,3,24,13,10,1,,27,Toronto St. Patricks
1107,1922,PCHA,SEA,SEA,,,3,30,15,15,0,,30,Seattle Metropolitans
1108,1922,PCHA,VAM,VMR,,,1,30,17,12,1,,35,Vancouver Maroons
1109,1922,PCHA,VC1,VIC,,,2,30,16,14,0,,32,Victoria Cougars
